"section","subsection","element","Value"
"Overview","Authorship","Study title","Hard edges, soft edges, and species range evolution: A genomic analysis of the Cumberland Plateau salamander"
"Overview","Authorship","Author names","Emily Watts; Brian Waldron; Shawn Kuchta"
"Overview","Authorship","Contact ","watts.emily.f@gmail.com"
"Overview","Authorship","Study link","Available upon publication"
"Overview","Model objective","Model objective","Inference and explanation"
"Overview","Focal Taxon","Focal Taxon","Plethodon kentucki"
"Overview","Location","Location","Kentucky, West Virginia, and Virginia, USA"
"Overview","Scale of Analysis","Spatial extent","36, 39.5, -84.5, -80.5 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","1 km^2"
"Overview","Scale of Analysis","Temporal extent","1970-2000"
"Overview","Scale of Analysis","Temporal resolution","Monthly"
"Overview","Scale of Analysis","Boundary","rectangle"
"Overview","Biodiversity data","Observation type","GPS tracking; range map"
"Overview","Biodiversity data","Response data type","presence-only"
"Overview","Predictors","Predictor types","climatic"
"Overview","Hypotheses","Hypotheses","We expected that habitat across the Ohio and Kanawha Rivers would be suitable for Plethodon kentucki, despite its inability to access that habitat to the east and north of its range. We expected to find decreasingly suitable habitat in the western and southern portions of the range."
"Overview","Assumptions","Model assumptions","We assume that this dataset represents present-day conditions."
"Overview","Algorithms","Modelling techniques","maxent"
"Overview","Algorithms","Model complexity","We removed variables with a correlation coefficient < ±0.7 using the ‘Remove Highly Correlated Variables’ tool in SDMTOOLBOX v. 2.5 and retained seven climatic variables for use in niche modeling. To parameterize the ENM, we evaluated the performance of various combinations of five feature classes (linear; linear, and quadratic; hinge; linear, quadratic, and hinge; and linear, quadratic, hinge, product, and threshold) and 10 regularization multipliers (from 1 to 5, in increments of 0.5) using the Maxent algorithm in the R package ‘SDMTune.’ We evaluated the performance of many ENMs built under each combination of model parameters through inspections of the omission rate, area under the curve (AUC), and model feature class complexity. We used the ENM with the lowest omission rate, highest AUC, and lowest complexity, in the order listed."
"Overview","Algorithms","Model averaging","We chose the best fit model for our study and published it."
"Overview","Workflow","Model workflow","We downloaded raster coverages of the 19 bioclimatic variables from WorldClim version 2/1 database at 30 arc-seconds resolution (~1 km^2). We clipped the coverages to our study region using the `Extract by Mask` tool in Arc-GIS v. 10.8 Spatial Analyst Tools.We removed any variables with a correlation coefficient < ±0.7 using the 'Remove Highly Correlated Variables' tool in SDMToolbox v. 2.5. We retained BIO1, BIO3, BIO7, BIO8, BIO9, BIO12, and BIO15 for modeling. We used GPS coordinates for 908 individuals from 86 localities that represent all known localities of P. kentucki from museum specimens and data from our own field work. We then removed duplicate occurrences and spatially rarefied these points to 1 km using 'Spatially Rarefy Occurrence Data' in SDMToolbox. This reduced our dataset to 65 occurence pounts. Background pounts were sampled from a minimum convex polygon defined as a 20 km buffer drawn around occurrence points. To parameterize the ENM, we evaluated the performance of various combinations of five feature classes (linear; linear, and quadratic; hinge; linear, quadratic, and hinge; and linear, quadratic, hinge, product, and threshold) and 10 regularization multipliers (from 1 to 5, in increments of 0.5) using the Maxent algorithm in the R package ‘SDMTune.' We evaluated the performance of many ENMs built under each combination of model parameters through inspections of the omission rate, area under the curve (AUC), and model feature class complexity."
"Overview","Software","Software","Arc-GIS v. 10.8, SDMToolbox v. 2.5, and SDMTune in R v. 4.2.2"
"Overview","Software","Code availability","https://github.com/efwatts/Plethodonkentucki_RangeLimits"
"Overview","Software","Data availability","https://www.worldclim.org/data/worldclim21.html"
"Data","Biodiversity data","Taxon names","Plethodon kentucki"
"Data","Biodiversity data","Taxonomic reference system","Notes on species taxonomy can be found in Watts, E. F., Waldron, B. P., Hantak, M. M., Lemmon, E. M., Lemmon, A. R., & Kuchta, S. R. (2024). Cryptic Species within a Cryptic Species? Species Delimitation in the Cumberland Plateau Salamander, Plethodon kentucki. Herpetologica."
"Data","Biodiversity data","Ecological level","individuals"
"Data","Biodiversity data","Data sources","https://naturalhistory.si.edu/research/vertebrate-zoology/amphibians-reptiles and own field observations"
"Data","Biodiversity data","Sampling design","All known populations of Plethodon kentucki"
"Data","Biodiversity data","Sample size","906 individuals from 86 localities"
"Data","Biodiversity data","Clipping","Cumberland Plateau Region of Appalachia, USA"
